 ชื่อไทย,Title Eng,ชื่อผู้ทำ1,นามสกุลผู้ทำ1,ชื่ิอผู้ทำ2,นามสกุลผู้ทำ2,ชื่ิอผู้ทำ3,นามสกุลผู้ทำ3,อาจารย์ที่ปรึกษา,ที่ปรึกษาร่วม1,ที่ปรึกษาร่วม2,ประเภท,Thesis,ประเภทของโปรเจค,ภาควิชา,ปีการศึกษา,บทคัดย่อ
การพัฒนารูปแนบการเรียนการสอนแบบ Logical Thinking บนระบบคอมพิวเตอร์,A Develop Computer – Based Logical Thinking Learning Model,นายอภิสิทธิ์,แสนยากุล,,,,,กฤช สินธนะกุล,สุพจน์  นิตย์สุวัฒน์,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),อื่นๆ,ภาควิชาคอมพิวเตอร์ศึกษา,2553,การวิจัยครั้งนี้มีวัตถุประสงค์เพื่อ 1) พัฒนารูปแบบการเรียนการสอนแบบ Logical Thinking หรือ CBLTLM (Computer Based Logical Thinking Model) 2) ทดสอบประสิทธิภาพของบทเรียน ที่สร้างขึ้น 3) เปรียบเทียบทักษะทางด้าน Logical Thinking ก่อนเรียนและหลังเรียนและ 4) หา ความพึงพอใจของผู้เรียนที่ได้รับการจัดกิจกรรมการเรียนการสอนด้วยรูปแบบการเรียนการสอนที่ พัฒนาขึ้น ขั้นตอนในการดำเนินการวิจัยได้ดำเนินการตามวิธีการเชิงระบบขั้นตอน ได้แก่ 1) การวิเคราะห์สภาพทั่วไป ได้แก่ การวิเคราะห์สภาพปัญหาและศึกษาแนวทางการแก้ไข 2) การออกแบบ รูปแบบ ได้แก่ กำหนดวัตถุประสงค์ เป้าหมาย และกรอบในการออกแบบ 3) การพัฒนารูปแบบ ได้แก่ การสังเคราะห์รูปแบบ การประเมินรูปแบบโดขผู้เชี่ยวชาญ 4) การทดลองใช้รูปแบบ ได้แก่ การพัฒนาบทเรียนตามรูปแบบ การประเมินบทเรียน โดยผู้เชี่ยวชาญ การทดลองใช้บทเรียนโดย กลุ่มตัวอย่าง 5) การประเมินผลรูปแบบ โดยการนำผลที่ได้จากการทดลองใช้มาสรุปผล เครื่องมือที่ ใช้ในการวิจัย ได้แก่ แบบสอบถามแบบมาตราส่วน ระดับ แบบทสอบ และบทเรียนคอมพิวเตอร์ ช่วยสอนตามรูปแบบการเรียนการสอนแบบ Logical Thinking ที่ผู้วิจัยได้พัฒนาขึ้น กลุ่มตัวอย่างที่ ใช้ในการวิจัยครั้งนี้ได้แก่ นักศึกษาระดับชั้น ปวส.1แผนกอิเล็กทรอบิกส์ สาขางานเทคนิค คอมพิวเตอร์ วิทยาลัยเทคนิคแม่วงก์ จังหวัดนครสวรรค์ จำนวน 11 คน ผลการ วิจัยสรุปได้ดังนี้ การพัฒนารูปแบบการเรียนการสอนแบบ Logical Thinking บนระบบคอมพิวเตอร์ ได้รูปแบบที่มืองค์ประกอบ 3 ด้าน คือ ด้านที่เกี่ยวกับโครงสร้างด้านการคิด ที่ประกอบด้วยความสามารถด้านทักษะการคิดตามแนวคิดโครงสร้างความรู้และสติปัญญา 4 ระดับ ได้แก่ทักษะการรับรู้และรวบรวมข้อมูล ทักษะการจัดกระทำช้อมูล ทักษะการประยุกต์ใช้ข้อมูล และทักษะการควบคุมกำกับตนเอง องค์ประกอบที่ 2 เป็นด้านที่เกี่ยวกับขั้นตอนกระบวนการพัฒนา ทักษะความคิด ซึ่งประกอบด้วย 4 ขั้นตอนหลัก : ขั้นตอนย่อย คือ ขั้นเตรียมพร้อมซึ่งประกอบด้วย การกำหนดวัดถุประสงค์ ทบทวนความรู้เดิมและชี้แจงแผนการจัดกิจกรรมตามเป้าหมาย วัดถุประสงค์ ขั้นให้นิยามความชัดเจนประกอบด้วยการอภิปรายขจัดข้อสงสัย และให้นิยามคำจำกัดความ ขั้นสำรวจกันหาวินิฉัยประกอบด้วยการอธิบายให้ตัวอย่าง ฝึกปฏิบัติ ทำให้สำเร็จ ประเมินผลแสดงออก ขั้นเพิ่มคุณค่าประกอบด้วยการเพิ่มระดับคุณภาพของงานและลงรหัสสร้าง ความเข้าใจฝังแน่นความรู้สึกซึ่งติดทน องค์ประกอบที่ 3 ด้านนกลยุทธ์การสอนทักษะการคิด ซึ่งประกอบด้วยจุดคิด เครื่องมือช่วยคิด ประเมินการคิดและการคิดร่วมกับผู้อื่น ผลการวิเคราะห์ความคิดเห็นของผู้เชี่ยวชาญที่มีต่อรูปแบบพบว่าความคิดเห็นของผู้เชี่ยวชาญ มีความคิดเห็นต่อรูปแบบในภาพรวมอยู่ในระดับมาก (J = 4.05 และ S.D. =0.73) บทเรียนที่ พัฒนาขึ้นมีประสิทธิภาพ 88.1887.27 ซึ่งสูงกว่าเกณฑ์ 80/80 ตามสมมติฐานที่ตั้งไว้ ทักษะทางด้าน Logical Thinking ของกลุ่มตัวอย่างพบว่าหลังเรียนสูงขึ้นร้อยละ 19.72 ความพึงพอใจของผู้เรียนที่ ได้รับการจัดกิจกรรมการเรียนการสอนด้วยบทเรียนที่พัฒนาขึ้นอยู่ในระดับมาก ( = 4.37 และ S.D. = 0.59) การวิจัยครั้งนี้สรุปได้ว่า รูปแบบการเรียนการสอนแบบ Logical Thinking บนระบบ
การพัฒนาบทเรียนคอมพิวเตอร์ช่วยสอนในรูปแบบการ์ตูนแอนิเมชั่น สาระการเรียนรู้ ประวัติศาสตร์ สำหรับนักเรียนช่วงชั้นที่ 1 1,The development of computer assisted instruction with animation cartoon on history content for the first – level student,วิทยา ,ปัญญา,พรรณพร ,ศักดิ์ศรี,,,กฤช สินธนะกุล,วนิดา สุวรส,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),CAI,ภาควิชาคอมพิวเตอร์ศึกษา,2553,บทเรียนคอมพิวเตอร์ช่วยสอนในรูปแบบการ์ตูนแอนิเมชัน สาระการเรียนรู้ประวัติศาสตร์สําหรับนักเรียนช่วงชั้นที่ 1 จดทัาขึ้นนเพื่อเป็นแหล่งเรียนรู้เกี่ยวกับวิชาสังคมศาสนาและวัฒนธรรมศึกษา สำหรับคณะครู - อาจารย์และบุคคลทั่วไปที่ให้ความสนใจในการ ้เรียนบทเรียนบทเรียนคอมพิวเตอร์ช่วยสอนในรูปแบบการ์ตูนแอนิเมชัน สาระการเรียนรู้ประวตัิศาสตร์สำหรับนกเรียนช่วงชั้นที่ 1 เป็นบทเรียนการ์ตูนแอนิเมชั้นที่มีบทเรียนทั้งหมด 5 หน่วยการเรียนรู้ไดแก้หน่วยการเรียนรู้ที่ 1 ช่วงเวลาและการเรียงลาดับเหตุการณ์หน่วยการเรียนรู้ที่ 2 ประวัติความเป็นมาของตนเองและครอบครัว หน่วยการเรียนรู้ที่ 3 การดําเนินชีวิตในอดีตและปัจจุบัน หน่วยการเรียนรู้ที่ 4 สัญลกษณ์ที่สําคญของชาติไทย หน่วยการเรียนรู้ที่ 5 ความภาคภูมิใจในความเป็นไทย ในการพัฒนาเนื้อหาบทเรียนใช้โปรแกรม Adobe Flash สร้างบทเรียนต่างๆ เริ่มตั้งแต่การนําเข้าสู่บทเรียน คําชี้แจง เมนูหลัก แนะนําตัวละคร และบทเรียนแอนิเมชนหน่วยการเรียนรู้ที่ 1 - 5 จากการทดสอบการทํางานของบทเรียนพบว่า บทเรียนสามารถใช้งานได้ตรงตามวัตถุประสงค์และขอบเขตของโครงงานที่กําหนดไว้ทุกประการ
"การพัฒนาสื่อการ์ตูนแอนิเมชั่น 2 มิติ เรื่อง ""หุ่นดีหนูสร้างได้ ด้วยกรรมวิธีที่ปลอดภัย""","The development of 2D cartoon animation media topic ""desired shape is possible with safe way""",เดือนนภา ,แป้นแหลม,เพ็ญประภา ,มาลัยทอง,,,กฤช สินธนะกุล,ศิริเพ็ญ ตันวงศ์วาล,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),CAI,ภาควิชาคอมพิวเตอร์ศึกษา,2553,โครงงานเรื่องการพัฒนาสื่อการ์ตูนแอนิเมชัน 2 มิติ เรื่อง “หุ่นดีหนูสร้างได้ ด้วยกรรมวิธีที่ปลอดภัย” จัดทําขึ้นเพื่อใช้เป็นสื่อประกอบการเรียนการสอนวิชาสุขศึกษาและพลศึกษา สําหรับนักเรียนชั้นประถมศึกษาปี ที่ 6 มีเนื้อหา ได้แก่ เรื่องอาหาร และเรื่องโรคอ้วน ภายในเรื่องอาหารจะแบ่งออกเป็น 4 ตอนคือ โภชนบัญญัติ อาหารที่ควรได้รับใน 1 วัน (สําหรับเด็กอายุ 6-13 ปี ) หลักการเลือกซื้ออาหารและ วิธีหลีกเลี่ยงอาหารที่เป็นอันตรายตอสุขภาพ ส่วนเรื่องโรคอ้วนจะแบ่งออกเป็น 3 ตอน คือ สาเหตุของโรคอ้วน การป้องกนและแก้ไข และโรคที่ตามมาของผู้ที่อ้วน ซึ้งจะช่วยให้อาจารย์สามารถใช้เป็นสื่อประกอบการเรียนการสอนวิชาสุขศึกษาและพลศึกษาได้ผลการดําเนินงานโครงงานเรื่องการพัฒนาสื่อการ์ตูนแอนิเมชัน 2 มิติ เรื่อง “หุ่นดีหนูสร้างได้ด้วยกรรมวิธีที่ปลอดภัย” ผลการทดลองจํานวน 2 ตอน ได้แก่ เรื่องอาหารและเรื่องโรคอ้วน ปรากฏว่าสามารถนําไปใช้เป็นสื่อประกอบการเรียนการสอนในชั้นเรียนได้จริงตามวัตถุประสงค์และขอบเขตที่กำหนดไว้
เกมเรียงข้อมูล,Sorting game,จิรภัทร์ ,ศศิวิมลพิชญ์,รุ้งระวี ,จันทร์หอม,,,กฤช สินธนะกุล,,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),GM,ภาควิชาคอมพิวเตอร์ศึกษา,2553,"เกมเรียงข้อมูล (Sorting Game) เป็นเกมประเภทผจญภัย(Adventure Game) นาเสนอในรูปแบบเกมสองมิติจัดทำขึ้นเพื่อให้ผู้เล่นเกิดความสนุกสนานพร้อมทั้งสอดแทรกเนี้อหาในวิชาโครงสร้างข้อมูลเรื่องการจัดเรียงข้อมูล ประกอบด้วย Selection Sort, Insertion Sort, Bubble Sort, Quick Sort และ Merge Sort ในเกมจะมีด่านทั้งหมด 6 ด่าน แบ่งตามการจัดเรียงทั้ง 5 วิธีไว้ส่วนด่านสุดทายจะเป็นการนำการจัดเรียงทั้ง 5 วิธีมารวมกันวิธีการเล่นจะให้ผู้เล่นควบคุมตัวละครด้วยคีย์บอร์ดเดินผ่านด่านทั้ง 6 ด่าน ระหว่างทางจะพบอุปสรรคต่างๆ เมื่อถึงฉากสุดท้ายของแต่ละด่านผู้เล่นต้องเรียงข้อมูล ที่มีสุ่มชุดตัวเลขให้ตรงตามขั้นตอนและวิธีที่กำหนดไว้ในแต่ละด่าน ส่วนของแอนิเมชันในเรื่องการทำภาพเคลื่อนไหวตัวละครและฉากต่างๆ ใช้โปรแกรม Adobe Flash CS3 และใช้ Action Script 2.0 ในการควบคุมเกมผลการดำเนินงาน เกมเรียงข้อมูลสามารถทำงานได้อย่างถูกต้องตามขอบเขตในส่วนต่างๆ ของเกมก็สามารถทำงานได้ ตามขอบเขตของโครงงานที่กำหนดไว้ ทุกประการ"
การพัฒนาบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บ วิชา การบัญชีเบื้องดัน 2 เรื่อง ภาษีมูลค่าเพิ่มด้วยวิธีการจัดการเรียนรู้ร่วมกันโดยใช้เทคนิคจิกชอว์,The Development of Collaborative Web-Based Instruction for by Student Teams and Jigsaw Techniques. in Fundamental Accounting II Course,นางสาวอ้อมใจ,ขำหล่อ,,,,,กฤช สินธนะกุล,สุพจน์  นิตย์สุวัฒน์,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),WBI,ภาควิชาคอมพิวเตอร์ศึกษา,2553,การวิจัยครั้งนี้มีวัตถุประสงค์เพื่อ พัฒนาบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บ วิชา การบัญชีเบื้องต้น 2 หาประสิทธิภาพของบทเรียน เปรียบเทียบผลสัมฤทธิ์ทางการเรียนของผู้เรียนและ หาความพึงพอใจทางการเรียนด้วยบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บโดยใช้เทคนิคจิกซอว์ (jigsaw) กลุ่มตัวอย่างที่ใช้ในการวิจัยเป็นนักเรียนระดับชั้นประกาศนียบัตรวิชาชีพ ภาคเรียนที่ 1 ปี การศึกษา 2553 วิทยาลัยเทคนิคแม่วงก์ จำนวน 30 คน โดยการเลือกแบบเจาะจง เครื่องมือที่ใช้ใน การวิจัยครั้งนี้ประกอบด้วย 1) บทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บ ซึ่งประกอบด้วย เนื้อหา และ แบบฝึก โดยใช้เทคนิคจิกซอว์ 2 แบบทดสอบก่อนเรียน แบบฝึกหัด และแบบทดสอบหลังเรียน 3) แบบสอบถามความพึงพอใจ ขั้นตอนการวิจัยเริ่มจากให้กลุ่มตัวอย่างทำแบบทดสอบก่อนเรียน ศึกษาบทเรียนเป็นกลุ่ม หลังจากนั้นจึงให้ทำแบบทดสอบหลังเรียน และแบบประเมินความพึงพอใจ สำหรับการวิเคราะห์ข้อมูลใช้สถิติพื้นฐานได้แก่ ค่าเฉลี่ย ค่าเบื่ยงเบนมาตรฐาน และการทดสอบค่า ผลการวิจัยพบว่าบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บ ที่ผู้วิจัยพัฒนาขึ้นมีประสิทธิภาพ 80.17/84.33 สูงกว่าเกณฑ์ 80/80 ที่ตั้งไว้ และผลสัมฤทธิ์ทางการเรียนของผู้เรียนหลังเรียนด้วย บทเรียนคอมพิวเตอร์ที่พัฒนาขึ้นสูงกว่าก่อนเรียน อย่างมีนัยสำคัญทางสถิติ ที่ระดับนัยสำคัญ .0 ร และผู้เรียนมีความพึงพอใจต่อบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บที่พัฒนาขึ้นในระดับมาก
การพัฒนาบทเรียนคอมพิวเตอร์ช่วยสอน รายวิชา หลักการคิดคำนวณ สำหรับนักเรียนมัธยมศึกษาปีที่ 3 ด้วยการเรียนรู้แบบโครงงาน,The Development of Web-Based Instruction on Calculator Principle for Grade 9 Students by Using Project-Based Learning Technique,นายนันทพันธ์ ,คุณดิลกขุติวัต,,,,,กฤช สินธนะกุล,สุพจน์  นิตย์สุวัฒน์,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),WBI,ภาควิชาคอมพิวเตอร์ศึกษา,2553,การวิจัยครั้งนี้มีวัตถุประสงค์เพื่อพัฒนาและหาประสิทธิภาพบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บ รายวิชาหลักการคิดคำนวณสำหรับนักเรียนมัธยมศึกษาปีที่ 3 ด้วยการเรียนรู้แบบโครงงาน และ เปรียบเทียบผลสัมฤทธิ์ทางการเรียนก่อนเรียนและหลังเรียนนอกจากนั้นขังหาความพึงพอใจของ ผู้เรียนที่เรียนด้วยบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บที่ผู้วิจัยพัฒนาขึ้นกลุ่มตัวอย่างที่ใช้ในการวิจัย ครั้งนี้ เป็นนักเรียนชั้นมัธยมศึกษาปีที่ 3 โรงเรียนบรรพตพิสัยพิทยาคม ภาคเรียนที่ 2 ปีการศึกษา 2553 จำนวน 15 คนโดยการเลือกแบบเจาะจง เครื่องมือที่ใช้ในการวิจัยได้แก่ 1) บทเรียนคอมพิวเตอร์ ช่วยสอนผ่านเว็บประกอบด้วยเนื้อหาวีดีโอสาธิต และแบบฝึกปฏิบัติ โดยใช้เทคนิคการเรียนรู้ แบบโครงงาน 2) แบบทดสอบ และ 3) แบบสอบถามความพึงพอใจขั้นตอนการวิจัยเริ่มจากให้กลุ่ม ตัวอย่างทำแบบทดสอบก่อนเรียน ศึกษาบทเรียนหลังจากนั้นให้ทำแบบทดสอบหลังเรียนและ ประเมินความพึงพอใจ สำหรับการวิเคราะห์ข้อมูลใช้สถิติพื้นฐานได้แก่ค่าร้อยละ ค่าเฉลี่ย ค่าเบี่ยงเบนมาตรฐานและการทดสอบค่า t ผลการวิจัยพบว่าบทเรียนคอมพิวเตอร์ช่วยสอบผ่านเว็บที่ผู้วิจัยพัฒนาขึ้นมีประสิทธิภาพ 81.67/80.83 สูงกว่าเกณฑ์ 80/80 ที่ตั้งไว้ ผลสัมฤทธิ์ทางการเรียนของผู้เรียนที่เรียนด้วยบทเรียน คอมพิวเตอร์ช่วยสอนผ่านเว็บหลังเรียนสูงกว่าก่อนเรียนอย่างมีนัยสำคัญทางสถิติที่ระดับ.05 และ ผู้เรียนมีความพึงพอใจต่อบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บที่ผู้วิจัยพัฒนาขึ้นในระดับมาก
บทเรียนคอมพิวเดอร์ช่วยสอนผ่านเว็บ เรื่อง การใช้ Microsoft Access ด้วยวิธิแบบทบทวนร่วมกับ Project Based,The Development of Web-Based Instruction for Microsoft Access Usage by Tutorial Method with Project – Based Learning,นางสาวศิริรัดน์ ,สุทธิสนธิ์,,,,,กฤช สินธนะกุล,สุพจน์  นิตย์สุวัฒน์,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),WBI,ภาควิชาคอมพิวเตอร์ศึกษา,2553,"การวิจัยครั้งนี้มีวัตถุประสงค์เพื่อ พัฒนาบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บ เรื่อง การใช้Microsof Access หาประสิทธิภาพของบทเรียน เปรียบเทียบผลสัมฤทธิ์ทางการเรียนของผู้เรียนและหาความพึงพอใจหลังเรียนด้วยบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บที่พัฒนาขึ้น กลุ่มตัวอย่างเป็นนักเรียนชั้นมัธยมศึกษาปีที่ 5 โรงเรียนเซนต์โยเซฟนครสวรรค์ ที่ลงทะเบียนเรียนในภาคเรียนที่ 2 ปีการศึกษา 2535 จำนวน 40 คนเครื่องมือที่ใช้ในการวิจัยครั้งนี้ประกอบด้วย 1) บทเรียนพิวเตอร์ช่วยสอนผ่านเว็บ ซึ่งเนื้อหา วิดีโอสาธิต และแบบฝึกปฏิบัติ 2)แบบทดสอบ และ 3) แบบสอบตามควรที่พอใจ หลังจากนั้นนำข้อมูลมาคำนวณ โดยใช้ ค่าเฉลี่ยส่วนเบี่ยงเบนมาตรฐาน และการทดสอบค่าที่ผลการวิจัยพบว่าบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บ ที่ผู้วิจัยพัฒนาขึ้นมีประสิทธิภาพ 95.74/89,72 สูงกว่าเกณ์ที่ 880/80 ที่ตั้งไว้ และผลสัมฤทธิ์ทางการเรียนของผู้เรียนหลังเรียนด้วยบทเรียนคอมพิวเตอร์ที่พัฒนาขึ้นสูงกว่าก่อนเรียน อย่างมีนัยสำคัญทางสถิติ ที่ระดับนัยสำคัญ 05 และผู้เรียนมีความพึงพอใจต่อบทเรียนคอมพิวเตอร์ช่วยสอบผ่านเว็บที่พัฒนาขึ้นในระดับมาก"
การพัฒนาบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บ เรื่องการคำนวณและการใช้งานพังก์ชั่นโปรแกรม Microsoft Excel ในรายวิชา การใช้โปรแกรมตารางงาน หลักสูตรประกาศนียบัตรวิชาชีพ ด้วยวิธีสาหิตร่วมกับโครงงานเป็นฐาน,The Development of Web-Based Instruction (WBI) on calculation and function usage of Microsoft Excel in Spreadsheet Program Usage course of vocational curriculum by demonstration with Project Based Learning Technique,นางนันท์นภัส ,บุญเพ็ญ,,,,,กฤช สินธนะกุล,สุพจน์  นิตย์สุวัฒน์,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),WBI,ภาควิชาคอมพิวเตอร์ศึกษา,2553,การวิจัยครั้งนี้เป็นการวิจัยเชิงทดลองมีวัตถุประสงค์เพื่อพัฒนาและหาประสิทธิภาพ บทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บ เรื่องการคำนวณและการใช้งานฟังก์ชั่นโปรแกรม Microsott Excel ในรายวิชาการใช้โปรแกรมตารางงานหลักสูตรประกาศนียบัตรวิชาชีพชั้นสูงบัตรวิชาชีพ ด้วยวิธีสาธิตร่วมกับโครงงานเป็นฐาน กลุ่มตัวอย่างในการวิจัย เป็นนักเรียนในระดับประกาศนียบัตรวิชาชีพที่ลงทะเบียนเรียนรายวิชาการใช้โปรแกรมตารางงาน ในภาคเรียนที่ 2 ปีการศึกษา 2553 โดยเลือกแบบเจาะจง (Purposive Sampling) จำนวน 28 คน จากนักเรียนระดับ ปวช. ชั้นปีที่ 2 กลุ่ม 1-2แผนกวิชาคอมพิวเตอร์ธุรกิจ วิทยาลัยเทคนิคแม่วงก์ เครื่องมือประกอบด้วย บทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บ แบบทดสอบก่อนเรียน วีดิโอสาธิต วีดิโอทดลองฝึกปฏิบัติ แบบฝึกหัดท้ายบทเรียน แบบทดสอบหลังเรียน รวมทั้งแบบสอบถามความคิดเห็นของผู้เชี่ยวชาญด้านเนื้อหา และด้านเทคนิควิธีการ โดยใช้เทคนิควิธีสาธิตร่วมกับโครงงานเป็นฐานผลการวิจัยพบว่า บทเรียนที่พัฒนาขึ้น มีประสิทธิภาพ 819780.09 ซึ่งสูงกว่าเกณฑ์ 80/80ที่ตั้งสมมติฐานไว้ และเปรียบเทียบผลสัมฤทธิ์ทางการเรียน ด้วยค่าที (-test)  พบว่า ผลสัมฤทธิ์ทางการเรียนสูงขึ้นอย่างมีนัยสำคัญทางสถิติที่ระดับ .05 สรุปได้ว่า บทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บที่พัฒนาขึ้นนี้ สามารถนำไปใช้กับกลุ่มเป้าหมายได้อย่างเหมาะสม
วิชาโปรแกรมสำเร็จรูปในงานอาชีพเรื่องการใช้อินเทอร์เน็ตสืบคันข้อมูลเพื่อพัฒนางานอาชีพด้วยวิธีการสอนแบบฝึกปฏิบัติ,The Development of WBI in Vocational Software Package Course about the usage of the Internet search for the Vocational development by Practice Teaching Method,นางสาวพรรณทิพย์ ,วชีรสุต,,,,,กฤช สินธนะกุล,สุพจน์  นิตย์สุวัฒน์,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),WBI,ภาควิชาคอมพิวเตอร์ศึกษา,2553,การวิจัยครั้งนี้มีวัตถุประสงค์เพื่อพัฒนาหาประสิทธิภาพของบทเรียน เปรียบเทียบผลสัมฤทธิ์ทางการเรียนของนักศึกษา และประเมินความพึงพอใจของนักศึกษาที่มีต่อบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บ วิชาโปรแกรมสำเร็จรูปในงานอาชีพ เรื่องการใช้อินเทอร์เน็ตสืบค้นข้อมูลเพื่อพัฒนางานอาชีพ ด้วยวิธีการสอนแบบฝึกปฏิบัติ กลุ่มตัวอย่างเป็นนักศึกษาระดับประกาศนียบัตรวิชาชีพชั้นสูง(ปวส.) ชั้นปีที่ 1 แผนกวิชาการตลาด วิทยาลัยเทคนิคอุทัยธานี จำนวน 25 คน ซึ่งได้มาโดยการเลือกแบบเจาะจง (Purposive Sampling) เครื่องมือที่ใช้ในการวิจัยประกอบด้วย 1)บทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บ ซึ่งประกอบด้วย เนื้อหา วีดีโอสาธิต และแบบฝึกปฏิบัติ 2)แบบทดสอบวัดผลสัมฤทธิ์ทางการเรียน 3)แบบประเมินคุณภาพด้านเนื้อหาของบทเรียน 4)แบบประเมินคุณภาพด้านเทคนิคการผลิตสื่อบทเรียน และ 5)แบบสอบถามความพึงพอใจของนักศึกษาผลการวิจัยพบว่า บทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บ วิชาโปรแกรมสำเร็จรูปในงานอาชีพเรื่องการใช้อินเทอร์เน็ตสืบค้นข้อมูลเพื่อพัฒนางานอาชีพ ด้วยวิธีการสอนแบบฝึกปฏิบัติ ที่ผู้วิจัยพัฒนาขึ้นมีประสิทธิภาพ 84.83/84.19 สูงกว่าเกณฑ์ 80/80 ที่ตั้งสมมติฐานไว้ และเมื่อนำคะแนนก่อนเรียนและหลังเรียนมาวิเคราะห์เพื่อหาผลสัมฤทธิ์ทางการเรียนพบว่า คะแนนหลังเรียนสูงกว่าก่อนเรียนอย่างมีนัยสำคัญทางสถิติที่ระดับ .05 และนักศึกษามีความพึงพอใจต่อบทเรียนมีค่าเฉลี่ยเท่ากับ 4.17อยู่ในระดับมาก
การพัฒนาบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บรายวิชา Word Processingสำหรับนักเรียนมัธยมศึกษาปีที่ 1 ด้วยการเรียนรู้แบบโครงงาน,The Development of Web-Based Instruction on Word Processing for Grade 7 Students Using Project-Based Learning Technique,อนงค์วรรณ,คุณดิลกชุติวัต,,,,,กฤช สินธนะกุล,สุพจน์  นิตย์สุวัฒน์,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),WBI,ภาควิชาคอมพิวเตอร์ศึกษา,2553,การวิจัยครั้งนี้มีวัตถุประสงค์เพื่อพัฒนาและหาประสิทธิภาพบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บรายวิชา Word Processing สำหรับนักเรียนมัธยมศึกษาปีที่ 1 ด้วยการเรียนรู้แบบโครงงานและเพื่อเปรียบเทียบผลสัมฤทธิ์ทางการเรียนก่อนเรียนและหลังเรียน นอกจากนั้นยังหาความพึงพอใจของผู้เรียนที่เรียนด้วยบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บที่พัฒนาขึ้น กลุ่มตัวอย่างที่ ใช้ในการวิจัยครั้งนี้เป็นนักเรียนชั้นมัธยมศึกษาปีที่ 1 โรงเรียนบรรพตพิสัยพิทยาคม ภาคเรียนที่ 2 ปีการศึกษา 2553 จำนวน 15 คน โดยการเลือกแบบเจาะจง เครื่องมือที่ใช้ในการวิจัยได้แก่ 1) บทเรียนคอมพิวเตอร์ช่วยสอบผ่านเว็บประกอบด้วยเนื้อหา วีดิโอสาธิตและแบบฝึกปฏิบัติใดยใช้เทคนิคการเรียนรู้แบบโครงงาน 2) แบบทดสอบ และ 3) แบบสอบถามความพึงพอใจ ขั้นตอนการวิจัยเริ่มจากให้กลุ่มตัวอย่างทำแบบทดสอบก่อนเรียน ศึกษาบทเรียน หลังจากนั้นให้ทำแบบทดสอบหลังเรียนและประเมินความพึงพอใจ สำหรับการวิเคราะห์ข้อมูลใช้สถิติพื้นฐานได้แก่เฉลี่ย ค่าเบี่ยงเบนมาตรฐานและการทดสอบค่า tผลการวิจัยพบว่าบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บที่ผู้วิจัยพัฒนาขึ้นมีประสิทธิภาพ81. 79/80.77 สูงกว่าเกณฑ์ 80/80  ที่ตั้งไว้ ผลสัมฤทธิ์ทางการเรียนของผู้เรียนที่เรียนด้วยบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บหลังเรียน สูงกว่าก่อนเรียนอย่างมีนัยสำคัญทางสถิติที่ระดับ .05 และผู้เรียนมีความพึงพอใจต่อบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บที่ผู้วิจัยพัฒนาขึ้นในระดับมาก
