บทคัดย่อ,ประเภทของโปรเจค
เกมรักษ์โลกเป็นเกมประเภทผจญภัยนําเสนอในรูปแบบเกมสองมิติมีวัตถุประสงค์ในการจัดทําขึ้นเพื่อให้ผู้เล่นเกิดความสนุกสนานพร้อมทั้งสอดแทรกความรู้เกี่ยวกับวิธีการลดภาวะโลกร้อนเกมรักษ์โลกจะประกอบด้วยเกมย่อยทั้งหมด3เกมได้แก่เกมแยกขยะเกมรีไซเคิลเกมปลูกต้นไม้ผู้เล่นต้องปฏิบัติตามเงื่อนไขของแต่ละเกมซึ่งจะใช้เมาส์และคีย์บอร์ดในการควบคุมตัวละครและการปฏิบัติตามเงื่อนไขในเกมนั้นๆส่วนของแอนิเมชั่นในเรื่องการทําภาพเคลื่อนไหวตัวละครและฉากต่างๆใช้โปรแกรมAdobeFlashCS4และใช้ActionScript2.0ในการควบคุมเกมเกมรักษ์โลกสามารถใช้ได้ดีกับเครื่องคอมพิวเตอร์ที่มีความสามารถทํางานภายใต้ระบบปฏิบัติการMicrosoftWindowsXP/Windows7หน่วยความจําอย่างน้อย1GBหรือสูงกว่าผลการดําเนินงานเกมรักษ์โลกสามารถทํางานได้อย่างถูกต้องตามขอบเขตของโครงงานและเป็นไปตามวัตถุประสงค์ที่กําหนดไว้ในส่วนต่างๆของเกมก็สามารถทํางานได้ตามขอบเขตของโครงงานที่กําหนดไว้ทุกประการ,CAI
บทเรียนคอมพิวเตอร์ช่วยสอนในรูปแบบการ์ตูนแอนิเมชันสาระการเรียนรู้ประวัติศาสตร์สําหรับนักเรียนช่วงชั้นที่1จัดทำขึ้นเพื่อเป็นแหล่งเรียนรู้เกี่ยวกับวิชาสังคมศาสนาและวัฒนธรรมศึกษาสำหรับคณะครู-อาจารย์และบุคคลทั่วไปที่ให้ความสนใจในการเรียนบทเรียนคอมพิวเตอร์ช่วยสอนในรูปแบบการ์ตูนแอนิเมชันสาระการเรียนรู้ประวัติศาสตร์สำหรับนักเรียนช่วงชั้นที่1เป็นบทเรียนการ์ตูนแอนิเมชันที่มีบทเรียนทั้งหมด5หน่วยการเรียนรู้ได้แก้หน่วยการเรียนรู้ที่1ช่วงเวลาและการเรียงลำดับเหตุการณ์หน่วยการเรียนรู้ที่2ประวัติความเป็นมาของตนเองและครอบครัวหน่วยการเรียนรู้ที่3การดําเนินชีวิตในอดีตและปัจจุบันหน่วยการเรียนรู้ที่4สัญลักษณ์ที่สําคัญของชาติไทยหน่วยการเรียนรู้ที่5ความภาคภูมิใจในความเป็นไทยในการพัฒนาเนื้อหาบทเรียนใช้โปรแกรมAdobeFlashสร้างบทเรียนต่างๆเริ่มตั้งแต่การนําเข้าสู่บทเรียนคําชี้แจงเมนูหลักแนะนําตัวละครและบทเรียนแอนิเมชันหน่วยการเรียนรู้ที่1-5จากการทดสอบการทํางานของบทเรียนพบว่าบทเรียนสามารถใช้งานได้ตรงตามวัตถุประสงค์และขอบเขตของโครงงานที่กําหนดไว้ทุกประการ,CAI
ภาษาอังกฤษเป็นภาษากลางที่ใช้สําหรับสื่อสารกันทั่วโลกและปัจจุบันทุกสถานศึกษาจะเน้นให้นักเรียนได้เรียนรู้การใช้ภาษาอังกฤษซึ่งลักษณะการเรียนในสถานศึกษานั้นเป็นการเรียนที่เน้นในเรื่องการใช้ไวยากรณ์เป็นส่วนมากแต่สิ่งสำคัญอีกอย่างหนึ่งสำหรับการเรียนภาษาอังกฤษคือการฝึกออกเสียงคำศัพท์หรือการใช้สำเนียงให้ใกล้เคียงกับเจ้าของภาษาซึ่งถือว่ามีความสำคัญอย่างยิ่งในการใช้ภาษาอังกฤษเพื่อสื่อสารกับบุคคลอื่นดังนั้นคณะผู้จัดทำจึงได้พัฒนาโปรแกรมฝึกฝนการออกเสียงคำศัพท์ภาษาอังกฤษผ่านทางเว็บไซต์ขึ้นมามีขอบเขตของโครงงานโดยการนำโปรแกรมiSpeechv1.5ที่พัฒนาจากNECTECมาประยุกต์ใช้ในการประมวลผลและรู้จำเสียงพูดคำศัพท์ภาษาอังกฤษเพื่อแสดงผลบนเว็บบราวเซอร์ผ่านระบบเครือข่ายอินเทอร์เน็ตมีลักษณะการเข้าใช้งานระบบผู้ใช้จะต้องทำการเข้าสู่ระบบโดยใช้ชื่อผู้ใช้งานและรหัสผ่านซึ่งมีการแบ่งระดับในการเข้าใช้งานเป็น3ระดับคือผู้ดูแลระบบครูผู้สอนและนักเรียนลักษณะของโปรแกรมพัฒนาขึ้นมานั้นจะเน้นในส่วนของนักเรียนเป็นหลักซึ่งจะประกอบด้วยการฝึกออกเสียงคำศัพท์ภาษาอังกฤษสถิติการออกเสียงคำศัพท์ของนักเรียนและพัฒนาต่อยอดเกมส์ฝึกทักษะการออกเสียงคำศัพท์ภาษาอังกฤษที่ใช้งานในรูปแบบStandaloneให้สามารถใช้งานออนไลน์ได้นอกจากนั้นส่วนสำคัญอีกส่วนหนึ่งคือส่วนของความรู้เสริมซึ่งผู้เรียนสามารถเข้าไปศึกษาหาความรู้เพิ่มเติมเกี่ยวกับการฝึกออกเสียงได้ด้วยตนเองจากการทดสอบการทำงานของระบบพบว่าโปรแกรมทำงานได้ตามวัตถุประสงค์และขอบเขตของโครงงานที่กำหนดไว้,WBI
"เกมเรียงข้อมูล(SortingGame)เป็นเกมประเภทผจญภัย(AdventureGame)นำเสนอในรูปแบบเกมสองมิติจัดทำขึ้นเพื่อให้ผู้เล่นเกิดความสนุกสนานพร้อมทั้งสอดแทรกเนี้อหาในวิชาโครงสร้างข้อมูลเรื่องการจัดเรียงข้อมูลประกอบด้วยSelectionSort,InsertionSort,BubbleSort,QuickSortและMergeSortในเกมจะมีด่านทั้งหมด6ด่านแบ่งตามการจัดเรียงทั้ง5วิธีไว้ส่วนด่านสุดท้ายจะเป็นการนำการจัดเรียงทั้ง5วิธีมารวมกันวิธีการเล่นจะให้ผู้เล่นควบคุมตัวละครด้วยคีย์บอร์ดเดินผ่านด่านทั้ง6ด่านระหว่างทางจะพบอุปสรรคต่างๆเมื่อถึงฉากสุดท้ายของแต่ละด่านผู้เล่นต้องเรียงข้อมูลที่มีสุ่มชุดตัวเลขให้ตรงตามขั้นตอนและวิธีที่กำหนดไว้ในแต่ละด่านส่วนของแอนิเมชันในเรื่องการทำภาพเคลื่อนไหวตัวละครและฉากต่างๆใช้โปรแกรมAdobeFlashCS3และใช้ActionScript2.0ในการควบคุมเกมผลการดำเนินงานเกมเรียงข้อมูลสามารถทำงานได้อย่างถูกต้องตามขอบเขตในส่วนต่างๆของเกมก็สามารถทำงานได้ตามขอบเขตของโครงงานที่กำหนดไว้ทุกประการ",CAI
โครงงานเรื่องการพัฒนาสื่อการ์ตูนแอนิเมชัน2มิติเรื่อง“หุ่นดีหนูสร้างได้ด้วยกรรมวิธีที่ปลอดภัย”จัดทําขึ้นเพื่อใช้เป็นสื่อประกอบการเรียนการสอนวิชาสุขศึกษาและพลศึกษาสําหรับนักเรียนชั้นประถมศึกษาปีที่6มีเนื้อหาได้แก่เรื่องอาหารและเรื่องโรคอ้วนภายในเรื่องอาหารจะแบ่งออกเป็น4ตอนคือโภชนาบัญญัติอาหารที่ควรได้รับใน1วัน(สําหรับเด็กอายุ6-13ปี)หลักการเลือกซื้ออาหารและวิธีหลีกเลี่ยงอาหารที่เป็นอันตรายต่อสุขภาพส่วนเรื่องโรคอ้วนจะแบ่งออกเป็น3ตอนคือสาเหตุของโรคอ้วนการป้องกันและแก้ไขและโรคที่ตามมาของผู้ที่อ้วนซึ่งจะช่วยให้อาจารย์สามารถใช้เป็นสื่อประกอบการเรียนการสอนวิชาสุขศึกษาและพลศึกษาได้ผลการดําเนินงานโครงงานเรื่องการพัฒนาสื่อการ์ตูนแอนิเมชัน2มิติเรื่อง“หุ่นดีหนูสร้างได้ด้วยกรรมวิธีที่ปลอดภัย”ผลการทดลองจํานวน2ตอนได้แก่เรื่องอาหารและเรื่องโรคอ้วนปรากฏว่าสามารถนําไปใช้เป็นสื่อประกอบการเรียนการสอนในชั้นเรียนได้จริงตามวัตถุประสงค์และขอบเขตที่กำหนดไว้,CAI
โครงงานนี้มีวัตถุประสงค์ในการจดทำขึ้นเพื่อพัฒนาบทเรียนคอมพิวเตอร์ช่วยสอนบนเว็บวิชาความน่าเช่อถือของระบบและการบํารุงรักษาเนื้อหาที่ใช้ในการจัดทำบทเรียนเป็นเนื้อหารายวิชาความน่าเช่อถือของระบบและการบํารุงรักษาประกอบด้วย1)พื้นฐานวิศวกรรมความน่าเชื่อถือ2)การประมาณค่าความน่าเชื่อถือ3)ความน่าเชื่อถือของระบบและการผลิต4)ความน่าเชื่อถือของระบบแบบซับซัอน5)การประมาณค่าพารามิเตอร์ความน่าเชื่อถือส่วนระบบจัดการเรียนบนเว็บผู้จัดทําได้พัฒนาขึ้นเองประกอบด้วยระบบการจัดการผู้ใช้งานกระดานข่าวสําหรับแลกเปลี่ยนความคิดเห็นการอัพโหลดไฟล์เพื่อให้นักเรียนสามารถดาวน์โหลดและบทเรียนโปรแกรมที่ใช่ในการจัดทำโครงงานนี้ได้แก่AdobeFlashในการสร้างตัวบทเรียนและAdobeDreamweaverในการสร้างระบบผลการดําเนินงานโครงงานนี้พบว่าบทเรียนคอมพิวเตอร์ช่วยสอนบนเว็บวิชาความน่าเชื่อถือระบบและการบํารุงรักษาที่จัดทำขึ้นเองสามารถทำงานได้ตามขอบเขตของโครงงานที่กําหนดไว้และเป็นไปตามวัตถุประสงค์ของโครงงานดังนั้นบทเรียนนี้จึงสามารถนําไปใช้ในการเรียนการสอนภายในห้องเรียนและยังสามารถให้ผู้เรียนเข้ามาทบทวนเนื้อหารายวิชาให้มีความรู้ความเข้าใจมากขึ้น,WBI
"เว็บไซต์สถานีโทรทัศน์ระบบดิจิตอลเพื่อการศึกษามหาวิทยาลยเทคโนโลยีพระจอมเกล้า
 พระนครเหนือ(KDTV)เป็นเว็บไซต์ที่พัฒนาขึ้นเพื่อเป็นศูนยกลางการเรียนรู้ผ่านระบบออนไลน์
 โดยที่KDTVมีการออกอากาศรายการที่เกี่ยวกับการศึกษาด้วยการออนไลน์บนเว็บไซต์และเพื่อ
 ช่วยอำนวยความสะดวกให้กับสถานีKDTVรวมถึงนักศึกษาเองก็สามารถรับรู้ข่าวสารความเคลื่อนไหวต่างๆภายในมหาวิทยาลัยด้วยเมื่อเว็บไซต์ได้รับการพัฒนาภายในเว็บไซต์จะประกอบไปด้วยประวัติสถานีวัตถุประสงค์วิสัยทัศน์ดาวน์โหลดภาพกิจกรรมกระดานถาม-ตอบบุคลากรตารางออกอากาศทีวีสดทีวีย้อนหลังข่าวสารกิจกรรมและประกาศจากการทดสอบการทำงานของเว็บไซต์พบว่าเว็บไซต์สามารถใช้งานได้ตามวัตถุประสงค์และขอบเขตของโครงงานที่กำหนดไว้",WBI
โปรแกรมสร้างสรรค์จินตนาการโดยการสร้างเรื่องราวสําหรับเด็กเป็นโปรแกรมที่มีวัตถุประสงค์เพื่อช่วยให้เด็กได้ฝึกทักษะทางด้านความคิดการฝีกสติปัญญาเพราะเด็กในช่วงวัยนี้เป็นวัยที่มีความคิดเป็นของตัวเองเริ่มที่จะมีจินตนาการไม่ว่าจะเป็นการสังเกตุหรือจดจําสิ่งรอบข้างได้อย่างแม่นยํานอกจากนี้ยังช่วยฝึกทักษะทางด้านการสื่อสารของเด็กผ่านทางการพูดอีกด้วยโปรแกรมสร้างสรรค์จินตนาการโดยการสร้างเรื่องราวสําหรับเด็กประกอบไปด้วยโปรแกรมย่อย2โปรแกรมได้แก่โปรแกรมสร้างเรื่องราวโดยภาพสําเร็จรูปและโปรแกมสร้างเรื่องราวโดยวาดภาพระบายสีซึ่งโปรแกมสร้างเรื่องราวโดยภาพสําเร็จรูปนั้นเป็นโปรแกรมที่สามารถคลิกเลือกภาพที่เตรียมไว้ในไลบรารี่มาสร้างเรื่องราวส่วนโปรแกรมสร้างเรื่องราวโดยวาดภาพระบายสีเป็นโปรแกรมที่ให้วาดภาพตามจินตนาการของผู้ใช้โดยใช้เมาส์เป็นอุปกรณ์ในการวาดภาพโปรแกรมสร้างสรรค์จินตนาการโดยการสร้างเรื่องราวสําหรับเด็กพัฒนาขึ้นโดยโปรแกรมAdobeFlashCS4และใช้ActionScript2.0ในการควบคุมโปรแกรมผลการดําเนินงานโปรแกรมสร้างสรรค์จินตนาการโดยการสร้างเรื่องราวสําหรับเด็กผู้ใช้ได้ฝึกทักษะทางด้านความคิดสติปัญญาในการอธิบายเรื่องราวที่เกิดจากจินตนาการของผู้ใช้และโปรแกรมสามารถทํางานได้ตามขอบเขตของโครงงานที่กําหนดไว้ทุกประการ,MIS
"ปริญญานิพนธ์มีวัตถุประสงค์เพื่อการพัฒนาเกมการสอนเรื่องหลักการเขียนโปรแกรม
 เบื้องต้นบนระบบปฏิบัติการแอนตรอยด์โดยใช้เกมเศรษฐีกระดานจัดทำขึ้นเพื่อให้ผู้เล่นเกิด
 ความสนุกสนานพร้อมทั้งสอดแทรกเนื้อหาเรื่องหลักการเขียนโปรแกรมเบื้องต้นประกอบด้วย
 กระดานการเล่น4กระดานได้แก่เรื่องทฤษฎีเกี่ยวกับโปรแกรมคอมพิวเตอร์,เรื่องทฤษฎี
 เบื้องต้นในการเขียนโปรแกรม,เรื่องทฤษฎีเกี่ยวกับตัวดำเนินการ,เรื่องทฤษฎีการออกแบบ
 ลำดับการทำงานของโปรแกรมโดยเกมดังกล่าวนั้นทำงานบนระบบปฏิบัติการแอนดรอยด์ตั้งแต่
 เวอร์ชั่น1.6ขึ้นไปในการเล่นเกมนั้นจะมีการแบ่งผู้เล่นออกเป็น2ฝ่ายคือฝ่ายผู้เล่นกับฝ่าย
 คอมพิวเตอร์หรือเอไอเกมประกอบด้วยข้อความแสดงเนื้อหาในเหตุการณ์ต่างๆซึ่งผู้เล่นจะต้อง
 มีการวางแผนการแก้ไขปัญหาที่เกิดขึ้นตามสถานการณ์ที่พบเพื่อเอาชนะฝ่ายตรงข้ามอีกทั้งยัง
 มีการทบทวนเนื้อและการทดสอบความรู้จากการเล่นเกม
 ผลการดำเนินงานในการพัฒนาเกมการสอนเรื่องหลักการเขียนโปรแกรมเบื้องต้น
 บนระบบปฏิบัติการแอนดรอยด์โดยใช้เกมเศรษฐีกระดานสามารถทำงานได้อย่างถูกต้อง
 ตามขอบเขตของโครงงานที่กำหนดไว้",CAI
"การวิจัยครั้งนี้มีวัตถุประสงค์เพื่อพัฒณาและหาประสิทธิภาพของบทเรียนคอมพิวเตอร์ช่วย
 สอนผ่านเว็บวิชาระบบเสียงด้วยวิธีจัดการเรียนรู้แบบฝึกทบทวนเรื่องงานติดตั้งระบบเสียง
 ห้องประชุมและหาความพึงพอใจของนักเรียนหลังเรียนด้วยบทเรียนคอมพิวเตอร์ช่วยสอนผ่าน
 เว็บที่พัฒนาขึ้นโดยกลุ่มตัวอย่างเป็นนักเรียนระดับประกาศนียบัตรวิชาชีพชั้นปีที่2สาขาวิชา
 ไฟฟ้าและอิเล็กทรอนิกส์สาขางานอิเล็กทรอนิกส์วิทยาลัยการอาชีพนครสวรรค์ภาคเรียนที่2
 ปีการศึกษา2553ซึ่งได้จากการคัดเลือกแบบเจาะจงจำนวน17คนเครื่องมือที่ใช้ประกอบด้วย
 บทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บวีดิโอแบบฝึกทบทวนแบบทดสอบก่อนเรียนและหลังเรียน
 สถิติที่ใช้ในการวิเคราะห์ข้อมูลได้แก่ค่สถิติพื้นฐานค่าสถิติที่(t-test)และค่ประสิทธิภาพบทเรียนของเมกุยแกนส์
 ผลของการวิจัยพบว่าบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บมีประสิทธิภาพเท่ากับ1.96ซึ่งมี
 ค่ามากกว่า1.00จึงถือว่าบทเรียนมีประสิทธิภาพตามเกณฑ์มาตรฐานของเมกุยแกนส์(Meguigans)
 นอกจากนี้ความพึงพอใจของผู้เรียนที่มีต่อบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บอยู่ในระดับมาก
 มีค่าเฉลี่ยอยู่ที่3.79และค่าเบื่ยงเบนมาตรฐานเท่ากับ0.32ดังนั้นสรุปได้ว่าบทเรียนคอมพิวเตอร์
 ช่วยสอนผ่านเว็บที่พัฒนาขึ้นสามารถนำไปใช้ประกอบการเรียนการสอนหรือใช้สอนเสริมได้
 อย่างมีประสิทธิภาพ",WBI
